书名,作者,出版社,关键词,摘要,中国图书分类号,出版年月
医学社会学基础,王志中，王洪奇主编,北京军事医学科学出版社,医学社会学,本书共分十一章，分别介绍了医学社会学概述、医学社会角色、医疗人际关系、医学社会组织、医疗社会行为、医疗社会政策、医疗社会保障、医学社会问题、医学社会教育、医学发展的社会动力、社会科学研究方法，它所涉及的研究领域，既对社会学的发展有重要的意义，而且对医疗保健事业有着不可忽略的重要作用。,R,2013.07
医学发展的回眸与展望,程景民主编,北京军事医学科学出版社,医学史研究世界,本书是教师与几位对医学发展历史充满探索热情的学生在课外业余时间互相讨论、交流过程中逐渐形成的。这种教师引导下的讨论式学习，有助于充分发挥学生的能动性、激发学生的学习热情，使学生学会了如何明辨、慎思，培养了人文情怀，唤醒了内心智慧。而教师也获益匪浅。他们有机会深入地了解学生，更有,R,2012.05
杭州全书西溪医药文化,朱德明，单金发著,杭州杭州出版社,中国医药学医学史杭州市,西溪医药文化的研究范围极广，在不同时期、不同类型、不同学科的著作及刊物中难觅踪迹。本书主要从历史背景、卫生机构、医药学家、临床医学、佛教医药等十大方面阐述了西溪医药文化，有助于加快对西溪医药文化的研究，让读者较全面地了解西溪医药文化的变迁。,R,2012.12
医海探骊,张效霞著,北京中医古籍出版社,中国医药学医学史研究,医海探骊中国医学史研究新视野作者张效霞以崭新的视角对中国医学史有关问题进行了探讨。医史通论是关于中国医学史学科理论、研究方法的思考内史研究是有关医家医籍的考证、历史事实和发展过程的论述外史探索是从社会史、思想史、文化史的角度对历史上疾病、医疗及相关问题的探讨医林杂谈是一组关于中医学科性质、理论来源、发展道路等的杂文。医海探骊中国医学史研究新视野资料翔实，以史带论，史论结合，说理清晰，视角独到，行文流畅，图文并茂，颇具资鉴价值。,R,2012.04
福建医学史略,刘德荣主编,福州福建科学技术出版社,医学史福建省,本书以时为纲，以简练的笔触，将数千年的福建医学发展历史浓缩在一个前后连贯且富有趣味的描绘之中。具体内容拟分为以下几个部分原始时期福建医学的起源、夏商至战国福建先民的医药卫生实践、秦汉至南北朝福建医学的积累、隋唐五代福建医学的丰富、宋元时期福建医学的发展、明代福建医学的兴盛、清代福建医学发展的延续、中西医交汇时福建医学的成就。,R,2011.08
皇甫谧研究集成,钱超尘，温长路主编,北京中医古籍出版社,皇甫谧中医学学术思想研究,本书收集近现代以来有关晋代著名医家皇甫谧及其所著甲乙经医学思想，学术经验研究的著作和论文，经过遴选，分类，综合分析，汇集成册，展示皇甫谧的医学思想，理论精髓及其研究成果应用价值。,R,2011.07
阿司匹林传奇,英迪尔米德杰弗里斯,北京中国友谊出版公司,乙酰水杨酸医学史世界通俗读物,阿司匹林的发展史，是科学、医药、化学、法律、营销的发展史，也是两次世界大战的战争史，更是一群天才和野心家的血泪史。年，阿司匹林投产，本是一次科学上的巧合，却成为了世界历史上的一次命中注定。从不为人知到声名鹊起，这枚全世界使用为广泛的小药片，有着怎样的传奇故事我们真的了解它吗为什么在短短数十年间，它从一种普通的祛病药物发展成为重要的战略物资为什么它引发了医药界与商业界几乎是为激烈的争斗到底是什么力量在冥冥之中选择了阿司匹林，并让它对人们产生了沧海桑田的影响事出偶然的发现，出自直觉的推断，令人叹服的科学才干，雄心勃勃的个人开拓，大动干戈的企业竞争，精妙绝伦的广告商战，大国博弈的战备攻防更多阿司匹林的发展史，是科学、医药、化学、法律、营销的发展史，也是两次世界大战的战争史，更是一群天才和野心家的血泪史。年，阿司匹林投产，本是一次科学上的巧合，却成为了世界历史上的一次命中注定。从不为人知到声名鹊起，这枚全世界使用为广泛的小药片，有着怎样的传奇故事我们真的了解它吗为什么在短短数十年间，它从一种普通的祛病药物发展成为重要的战略物资为什么它引发了医药界与商业界几乎是为激烈的争斗到底是什么力量在冥冥之中选择了阿司匹林，并让它对人们产生了沧海桑田的影响事出偶然的发现，出自直觉的推断，令人叹服的科学才干，雄心勃勃的个人开拓，大动干戈的企业竞争，精妙绝伦的广告商战，大国博弈的战备攻防，都在它的发展过程中得到了体现。隐藏更多,R,2010.07
傅维康医学史生涯记略,傅维康,上海上海文化出版社,医学史中国文集,傅维康是中国博物馆学家，傅维康医学史生涯记略精从其一生撰写发表的文章中，选出一部分予以整理汇集，加上专家、学者、新老朋友们的题词和撰文编纂而成，记录了傅维康与国医大师、文化名人及与同事、学生的深厚情谊，生动反映傅维康严谨而谦虚的治学精神，热情而诚挚的助人之心。共一百篇，文笔简洁流畅，既有知识性，又有趣味性。,R,2018.05
第三次医学革命与理论思维,何兆雄著,北京线装书局,医学伦理学研究,本书对医学中的道德问题进行了探讨研究，全书分医学历史学、医学哲学、医学伦理学及生命伦理学四部分。,R,2014.03
璀璨夺目的津门中医药,刘瑞珍主编,天津天津教育出版社,中国医药学医学史天津市中国医药学医学史,本书包括筑城设卫后的津门中医药、蓬勃发展的津门中医药、向国际迈进的津门中医药三大部分。充分展示了天津中医药从过去个体行医、手工制药的落后状态发展为当今现代化、标准化并与国际接轨的风采。,R,2009.01
医学伦理学,吴素香编,广州广东高等教育出版社,医学伦理学医学院校教材,本书为十一五国家级规划教材，这是在第一版的基础上改版修订的。本书尝试用新的视角和体裁写作，从生动的案例引入，提出问题，吸引读者带着问题进行理论学习。书中案例没有分析，留给教师和学生思考、分析和讨论的空间。,R,2012.01
中医劫百年中医存废之争,海天，易肖炜著,北京中国友谊出版公司,中国医药学医学史中国医药学医学史,本书内容包括东风渐起西学东入生死之间妙手仁心任重道远。,R,2008.01
传统医药,包文辉，于淑芳主编,济南山东友谊出版社,中国医药学医学史山东省中国医药学医学史,在中医学发展史上，齐鲁医学地位显赫，贡献卓越。由齐鲁文化孕育而成的齐鲁中医学，是中国传统医学的重要组成部分，在中国医学史上具有十分特殊而重要的学术地位。本书介绍了齐鲁医学文化、齐鲁医家、齐鲁中药文化三部分内容。,R,2017.01
中华医学百科全书医学信息学,刘德培,北京中国协和医科大学出版社,医学信息学,中华医学百科全书基础医学医学信息学精由代涛主编。医学信息学是综合运用数学、统计学、计算机科学和、生物学和医学等多学科技术和方法，以医学数据为对象，通过对数据进行收集与清洗、表示与存储、分类与标引、组织与整合、挖掘与分析、查找与定位，从中获得医学信息和知识并将其有效应用于医学教育、科研实验、医疗保险、临床诊断、卫生决策等方面的一门学科。其主要体现在医学信息标准化、医学信息系统构建、医学信息资源建设、公共卫生监测、公众健康服务、医学决策支持等方面。,R,2017.05
古代印度医学,印度库吞比亚著苏和必力格译,赤峰内蒙古科学技术出版社,医学学科印度学科古代学科蒙古语中国少数民族语言,本书介绍了古印度医学的起源，医学与宗教关系和医学与哲学的关系，古代医学原著，古印度医学与古希腊医学的关系以及医学教育等内容。,R,2006.11
预防医学实验指导,高玉敏主编,北京北京大学医学出版社,预防医学实验医学院校教学参考资料,本书共分为医学统计学、卫生学、流行病学及拓展性实验四篇。其内容包括统计表与统计图、计量资料的统计描述、计量资料的统计推断、计数资料的统计描述、计数资料的统计推断、直线相关与回归等。,R,2009.05
口岸检疫除害处理实务,徐朝哲主编洪雷，白章红，袁平，王桂江副主编,上海格致出版社,国境检疫卫生检疫中国教材,口岸检疫除害处理是一本关于我国口岸检疫除害处理的专著阐述了动物检疫处理、植物检疫处理与卫生除害处理的消毒、熏蒸、杀虫、杀菌、灭鼠等化学、非化学处理方法的应用并借失败与成功实践应用的案列帮助读者对检疫除害处理方法的适用范围、操作程序、药剂与设施设备选择、安全防护等方面的进一步理解和掌握。,R,2016.05
食品卫生预防知识读本,刘干才主编,奎屯伊犁人民出版社,食品卫生基本知识,共享小康生活之安全预防与平安生活读本，主要介绍交通出行、用电用火、网络生活、运动锻炼、食品卫生、疾病预防、劳动防护、黄赌毒黑、社会治安及自然灾害等方面的预防知识，悉心告诫，关怀备至，是教导广大人民群众安全每一天、幸福每一刻的最好读本。本册为食品卫生预防知识读本。,R,2015.09
疾病传染预防知识读本,刘干才主编,奎屯伊犁人民出版社,传染病防治基本知识,共享小康生活之安全预防与平安生活读本，主要介绍交通出行、用电用火、网络生活、运动锻炼、食品卫生、疾病预防、劳动防护、黄赌毒黑、社会治安及自然灾害等方面的预防知识，悉心告诫，关怀备至，是教导广大人民群众安全每一天、幸福每一刻的最好读本。本册为疾病传染预防知识读本。,R,2015.09
择时而食儿童四季健康饮食全书,薛长勇著,海口南海出版公司,儿童营养卫生基本知识合理营养,本书以季节为经线以食物为纬线为读者精确绘制了孩子科学的四季饮食宜忌食谱。从一个个小例子出发我们将带给读者全面健康的饮食常识内容贴近生活方法简单实用。,R,2014.06
一路有你余杭区第一人民医院院史,冯天元主编,杭州西泠印社出版社,医院历史余杭区,本书记录了余杭区第一人民医院年来的风雨历程，从创院之初的筚路蓝缕，到中期发展的披荆斩棘，再到如今的气象万千，处处体现出新老一院人艰苦奋斗、无私奉献的精神。主要内容包括历史沿革篇学科建设篇医院管理篇科研教学篇等。,R,2014.09
中西医联合健康体检,曹脉源，于丽，朱丽萍主编,北京中医古籍出版社,中西医结合体格检查基本知识中西医结合体格检查,本书主要内容包括中西医联合健康体检概述、中医治未病体质辨识方法、中西医联合健康体检中心护理管理、中医体检辩病基础等。,R,2010.06
